old_code,new_code,airport_name,city,country,change_date
TSE,NQZ,Nursultan Nazarbayev International Airport,Nur-Sultan,Kazakhstan,2020-06-08
KIV,RMO,Chișinău International Airport,Chișinău,Moldova,2024-01-18
FRU,BSZ,Manas International Airport,Bishkek,Kyrgyzstan,2025-08-09
